timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661013000,Aug 20 2022 - 4:30pm,complete,N/A,Udinese,Salernitana,Gianluca Aureliano,2,0.00,0.00,1.36,0.82,0,0,0,0,0,0,"","",6,6,2,1,4,0,3,0,1,3,17,17,3,7,14,10,9,12,47,53,0.00,0.00,1.64,1.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.75,4.50,1.26,1.75,3.00,5.50,1.73,1.98,Dacia Arena (Udine)
1661021100,Aug 20 2022 - 6:45pm,complete,N/A,Inter Milan,Spezia,Davide Ghersini,2,0.00,0.00,2.45,0.64,3,0,3,1,1,0,"35,52,82","",10,4,0,0,0,0,0,0,0,0,22,4,9,2,13,2,11,7,55,45,0.00,0.00,2.44,0.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.16,7.50,16.00,1.10,1.35,1.83,3.20,1.87,1.83,Stadio Giuseppe Meazza (Milano)
1661021100,Aug 20 2022 - 6:45pm,complete,N/A,Sassuolo,Lecce,Andrea Colombo,2,0.00,0.00,1.27,1.09,1,0,1,1,1,0,"39","",5,4,5,0,1,0,1,4,0,1,13,9,3,2,10,7,14,12,59,41,0.00,0.00,1.42,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,4.10,4.10,1.24,1.62,2.85,5.00,1.66,2.10,MAPEI Stadium - Città del Tricolore (Reggio nell'Emilia)
1661099400,Aug 21 2022 - 4:30pm,complete,N/A,Empoli,Fiorentina,Matteo Marchetti,2,0.00,0.00,1.45,0.82,0,0,0,0,0,0,"","",1,9,1,1,3,0,1,1,2,1,5,21,3,4,2,17,13,11,37,63,0.00,0.00,0.67,2.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.30,3.95,1.72,1.20,1.60,2.60,4.50,1.57,2.25,Stadio Carlo Castellani (Empoli)
1661099400,Aug 21 2022 - 4:30pm,complete,N/A,Napoli,Monza,Francesco Fourneau,2,0.00,0.00,2.82,1.27,4,0,4,2,2,0,"35,45'2,62,90'3","",10,4,2,0,1,0,0,2,1,0,23,6,7,3,16,3,11,13,54,46,0.00,0.00,2.30,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.41,4.80,6.40,1.18,1.50,2.40,4.33,1.80,1.95,Stadio Diego Armando Maradona (Napoli)
1661107500,Aug 21 2022 - 6:45pm,complete,N/A,Atalanta,AC Milan,Fabio Maresca,2,0.00,0.00,1.70,1.45,1,1,2,1,1,0,"29","68",4,6,4,0,3,0,1,3,1,2,12,20,3,8,9,12,15,6,41,59,0.00,0.00,1.16,2.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.45,2.50,1.24,1.70,2.85,5.00,1.57,2.25,Gewiss Stadium (Bergamo)
1661107500,Aug 21 2022 - 6:45pm,complete,N/A,Bologna,Hellas Verona,Matteo Marcenaro,2,0.00,0.00,1.58,0.40,1,1,2,2,1,1,"21","43",9,8,3,1,3,0,0,4,2,1,19,19,7,5,12,14,10,14,53,47,0.00,0.00,1.94,1.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.26,3.40,3.00,1.28,1.80,3.10,5.50,1.62,2.20,Stadio Renato Dall'Ara (Bologna)
1661185800,Aug 22 2022 - 4:30pm,complete,N/A,Roma,Cremonese,Luca Massimi,2,0.00,0.00,1.90,0.45,1,0,1,0,0,0,"65","",5,6,0,0,3,0,0,0,1,2,27,16,12,4,15,12,7,14,49,51,0.00,1.45,2.92,1.56,2.50,50,50,50,50,50,50,50,50,50,4.00,5.00,1.28,5.32,10.85,1.28,1.62,2.61,4.33,2.20,1.62,Stadio Olimpico (Roma)
1661193900,Aug 22 2022 - 6:45pm,complete,N/A,Sampdoria,Juventus,Rosario Abisso,2,0.00,0.00,0.27,1.70,0,0,0,0,0,0,"","",3,4,3,0,2,0,1,2,1,1,11,12,2,6,9,6,8,14,47,53,1.41,0.00,1.02,1.37,1.00,0,50,0,0,0,0,50,0,50,3.00,4.00,5.08,3.63,1.70,1.29,1.89,3.20,5.50,1.91,1.91,Stadio Comunale Luigi Ferraris (Genova)
1661531400,Aug 26 2022 - 4:30pm,complete,9955,Monza,Udinese,Marco Di Bello,3,0.00,0.00,1.36,1.36,1,2,3,2,1,1,"32","36,77",3,5,3,0,2,0,1,2,1,1,9,15,7,5,2,10,16,10,56,44,1.61,1.22,1.51,1.76,4.50,100,100,100,50,50,50,100,100,100,3.00,5.00,2.80,3.15,2.34,1.28,1.83,3.00,5.50,1.67,2.10,U-Power Stadium (Monza)
