timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1666537200,Oct 23 2022 - 3:00pm,complete,N/A,Ceramica Cleopatra,Zamalek,Mohamed Maarouf,2,0.00,0.00,1.29,1.71,0,2,2,1,0,1,"","10,87",5,3,1,0,4,0,1,0,1,3,9,13,6,6,3,7,9,10,48,52,0.00,0.00,1.59,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.76,3.21,2.14,1.31,1.99,3.45,7.00,1.68,2.05,Cairo International Stadium (al-Qāhirah (Cairo))
1666544400,Oct 23 2022 - 5:00pm,complete,N/A,Al Ahly,Aswan FC,Ahmed Ghandour,2,0.00,0.00,2.33,1.00,1,0,1,1,1,0,"17","",6,3,1,0,3,0,0,1,2,1,11,6,7,5,4,1,14,14,57,43,0.00,0.00,1.58,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.15,6.00,15.00,1.30,1.83,3.34,6.30,2.65,1.46,WE Al-Ahly Stadium (al-Qāhirah (Cairo))
1666616400,Oct 24 2022 - 1:00pm,complete,N/A,Ghazl El Mehalla,Ismaily SC,N/A,2,0.00,0.00,1.67,0.83,2,1,3,1,1,0,"12,75","87",4,6,3,0,2,0,2,1,0,2,14,11,8,5,6,6,13,11,49,51,0.00,0.00,1.83,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,2.80,2.70,1.53,2.50,4.65,9.00,2.20,1.64,El Mahalla Stadium (El-Mahalla El-Kubra)
1666623600,Oct 24 2022 - 3:00pm,complete,N/A,Al Ittihad,El Daklyeh FC,N/A,2,0.00,0.00,1.86,0.67,2,0,2,1,1,0,"36,70","",5,6,1,1,1,0,0,2,0,1,8,7,5,3,3,4,12,5,44,56,0.00,0.00,1.15,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.44,3.00,3.00,1.38,2.11,3.88,7.00,1.73,2.00,Alexandria Stadium (Al-Iskandarîah (Alexandria))
1666630800,Oct 24 2022 - 5:00pm,complete,N/A,Coca-Cola,Al Mokawloon,N/A,2,0.00,0.00,1.86,1.00,0,0,0,0,0,0,"","",10,5,1,0,3,0,1,0,2,1,16,7,4,2,12,5,11,14,62,38,0.00,0.00,1.91,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.00,3.60,1.38,2.20,3.95,8.50,1.87,1.90,WE Al-Ahly Stadium (al-Qāhirah (Cairo))
1666710000,Oct 25 2022 - 3:00pm,complete,N/A,Smouha SC,National Bank of Egypt,N/A,2,0.00,0.00,0.86,0.57,1,1,2,2,1,1,"43","31",0,3,3,0,1,0,1,2,0,1,6,8,2,3,4,5,12,10,50,50,0.00,0.00,0.89,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.32,3.25,2.62,1.28,2.30,3.45,6.40,1.67,2.10,Alexandria Stadium (Al-Iskandarîah (Alexandria))
1666717200,Oct 25 2022 - 5:00pm,complete,N/A,El Geish,ENPPI,N/A,2,0.00,0.00,1.67,1.00,2,1,3,2,1,1,"15,67","13",3,1,1,0,1,0,0,1,0,1,7,7,3,2,4,5,11,7,50,50,0.00,0.00,1.02,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,2.63,3.28,1.57,2.53,4.80,9.50,1.91,1.82,Gehaz El Reyada Stadium (al-Qāhirah (Cairo))
1666796400,Oct 26 2022 - 3:00pm,complete,N/A,Pharco,Haras El Hodood,N/A,2,0.00,0.00,1.00,0.33,1,0,1,0,0,0,"90'2","",2,4,2,0,1,0,1,1,0,1,10,8,6,4,4,4,10,9,47,53,0.00,0.00,1.45,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,2.75,3.22,1.50,2.56,4.83,9.30,2.28,1.60,Alexandria Stadium (Al-Iskandarîah (Alexandria))
1667048400,Oct 29 2022 - 1:00pm,complete,N/A,Aswan FC,Ghazl El Mehalla,N/A,3,0.00,1.00,1.80,1.33,0,1,1,0,0,0,"","90",4,4,0,0,1,0,0,0,0,1,12,7,4,2,8,5,7,13,40,60,1.11,1.66,1.68,1.01,1.50,50,50,0,0,0,0,0,50,100,6.00,3.00,3.10,2.60,2.45,1.50,2.40,4.77,9.30,2.10,1.67,Aswan Stadium (Aswan)
1667055600,Oct 29 2022 - 3:00pm,complete,N/A,Al Masry,ENPPI,Mohamed Adel,3,0.00,0.00,1.33,1.00,2,0,2,0,0,0,"73,90'3","",7,0,3,0,2,0,1,2,1,1,8,3,4,3,4,0,11,12,59,41,1.98,0.92,1.50,0.87,3.00,50,100,100,0,0,100,100,0,100,10.00,3.00,2.06,2.86,3.63,1.33,2.15,3.60,7.40,2.00,1.77,Borg El Arab Stadium (Al-Iskandarîah (Alexandria))
