team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Bologna FC 1909,Bologna,2022/2023,Italy,22,12,10,0,8,5,3,5,4,1,9,3,6,1.32,1.58,1,11,7,14,11,28,32,-4,60,26,34,16,12,10,22,6,-10,71,68,75,62,108,41,3,3,0,14,7,7,5,2,3,12,7,5,87,55,32,59,29,30,53,54,51,292,165,127,108,68,40,184,97,87,282,144,138,12,7,5,13,3,10,-1,4,-5,6,5,1,9,5,4,7,2,5,1.23,1.67,0.7,2.73,2.17,3.4,1.27,1.33,1.2,1.45,0.83,2.2,1.14,0.83,1.5,0.55,0.58,0.5,0.59,0.25,1,22,19,12,3,2,1,12,10,4,0,0,0,10,9,8,3,2,1,0,3,10,19,20,21,0,2,8,12,12,12,0,1,2,7,8,9,100,86,55,14,9,5,100,83,33,0,0,0,100,90,80,30,20,10,0,14,45,86,91,95,0,17,67,100,100,100,0,10,20,70,80,90,17,6,1,8,2,0,9,4,1,77,27,5,67,17,0,90,40,10,36,42,30,24,14,25,0,64,58,70,23,17,30,55,58,50,11,9,2,50,75,20,11,6,5,50,50,50,5,1,4,23,8,40,27,42,10,41,42,40,32,17,50,3.95,4.58,3.20,2.68,2.42,3.00,64,59,50,36,18,18,18,9,1.45,1.58,1.29,1.63,1.31,2.01,77,2,2,3,4,3,6,3,5,0,2,1,5,1,8,7,3,4,1,23,33,10,41,25,60,5
US Sassuolo Calcio,Sassuolo,2022/2023,Italy,23,11,12,0,6,4,2,6,2,4,11,5,6,1.04,1.27,0.83,15,14,13,15,26,35,-9,61,26,35,13,13,13,22,0,-9,80,76,83,59,76,49,6,4,2,11,5,6,8,3,5,9,4,5,97,46,51,62,37,25,48,49,48,314,152,162,119,53,66,195,99,96,239,137,102,13,5,8,19,7,12,-6,-2,-4,5,3,2,10,4,6,8,4,4,1.09,1.18,1,2.65,2.36,2.92,1.13,1.18,1.08,1.52,1.18,1.83,1.39,1.09,1.67,0.57,0.45,0.67,0.83,0.64,1,21,17,13,6,2,1,10,8,5,2,1,0,11,9,8,4,1,1,2,6,10,17,21,22,1,3,6,9,10,11,1,3,4,8,11,11,91,74,57,26,9,4,91,73,45,18,9,0,92,75,67,33,8,8,9,26,43,74,91,96,9,27,55,82,91,100,8,25,33,67,92,92,16,10,4,8,4,0,8,6,4,70,43,17,73,36,0,67,50,33,26,36,17,13,26,36,17,48,45,50,35,27,42,39,36,42,11,6,5,48,55,42,14,7,7,61,64,58,5,1,4,22,9,33,22,27,17,43,36,50,35,36,33,4.22,4.18,4.25,2.7,3.36,2.08,70,65,61,39,26,13,13,13,1.52,1.50,1.54,1.49,1.42,1.56,52,1,3,3,4,4,4,1,3,3,3,2,7,2,8,2,1,5,5,26,18,33,48,45,50,9
FC Internazionale Milano,Inter Milan,2022/2023,Italy,22,11,11,0,14,9,5,2,0,2,6,2,4,2,2.45,1.55,2,2,6,3,41,26,15,67,27,40,22,19,5,21,17,-2,48,45,52,76,200,47,8,7,1,12,3,9,3,1,2,15,9,6,124,58,66,42,16,26,55,55,55,357,173,184,135,64,71,222,109,113,241,116,125,22,12,10,9,2,7,13,10,3,11,7,4,10,4,6,1,0,1,1.95,2.27,1.64,3.05,2.45,3.64,1.86,2,1.73,1.18,0.45,1.91,1.41,1.27,1.55,1,1.09,0.91,0.41,0.18,0.64,21,16,14,8,4,2,11,6,5,2,1,1,10,10,9,6,3,1,1,6,8,14,18,20,0,5,6,9,10,10,1,1,2,5,8,10,95,73,64,36,18,9,100,55,45,18,9,9,91,91,82,55,27,9,5,27,36,64,82,91,0,45,55,82,91,91,9,9,18,45,73,91,17,10,3,8,4,1,9,6,2,77,45,14,73,36,9,82,55,18,64,82,45,35,36,64,9,55,27,82,14,9,18,68,82,55,13,9,4,59,82,36,6,3,3,27,27,27,8,2,6,36,18,55,50,64,36,45,36,55,5,0,9,5.64,5.27,6.00,1.91,1.45,2.36,77,68,55,45,32,18,14,14,1.83,1.78,1.90,1.34,1.13,1.54,68,5,4,5,5,4,6,3,5,4,0,2,4,3,1,5,1,3,7,9,0,18,27,18,36,5
ACF Fiorentina,Fiorentina,2022/2023,Italy,22,11,11,0,6,4,2,6,3,3,10,4,6,1.09,1.36,0.82,14,13,15,14,23,29,-6,52,32,20,15,8,17,12,-2,-4,86,66,123,68,58,83,4,2,2,12,7,5,8,3,5,8,5,3,141,69,72,55,24,31,58,58,57,371,208,163,127,76,51,244,132,112,273,124,149,11,8,3,15,8,7,-4,0,-4,5,4,1,9,4,5,8,3,5,1.09,1.45,0.73,2.36,2.91,1.82,1.05,1.36,0.73,1.32,1.55,1.09,1.18,1.45,0.91,0.5,0.73,0.27,0.68,0.73,0.64,20,16,9,3,2,1,10,9,6,3,2,1,10,7,3,0,0,0,2,6,13,19,20,21,1,2,5,8,9,10,1,4,8,11,11,11,91,73,41,14,9,5,91,82,55,27,18,9,91,64,27,0,0,0,9,27,59,86,91,95,9,18,45,73,82,91,9,36,73,100,100,100,17,7,2,9,5,2,8,2,0,77,32,9,82,45,18,73,18,0,27,36,18,7,18,18,18,55,64,45,36,27,45,36,45,27,9,5,4,41,45,36,12,4,8,55,36,73,6,4,2,27,36,18,23,36,9,41,36,45,36,27,45,6.41,6.27,6.55,2.5,2.18,2.82,86,77,64,59,32,23,14,14,2.08,2.35,1.79,1.25,1.22,1.29,41,1,6,2,2,3,3,0,0,6,4,5,1,4,2,4,3,1,5,27,27,27,45,36,55,5
Hellas Verona FC,Hellas Verona,2022/2023,Italy,22,12,10,0,4,4,0,5,1,4,13,7,6,0.77,1.08,0.4,18,15,20,18,20,33,-13,53,32,21,14,6,18,15,-4,-9,99,77,150,60,60,60,3,3,0,13,7,6,6,2,4,10,7,3,111,59,52,69,35,34,42,41,44,282,167,115,95,58,37,187,109,78,326,165,161,15,11,4,13,6,7,2,5,-3,7,6,1,9,4,5,6,2,4,1.36,1.83,0.8,2.41,2.67,2.1,0.91,1.17,0.6,1.5,1.5,1.5,1.27,1.42,1.1,0.68,0.92,0.4,0.59,0.5,0.7,22,18,8,2,1,1,12,9,6,2,1,1,10,9,2,0,0,0,0,4,14,20,21,21,0,3,6,10,11,11,0,1,8,10,10,10,100,82,36,9,5,5,100,75,50,17,8,8,100,90,20,0,0,0,0,18,64,91,95,95,0,25,50,83,92,92,0,10,80,100,100,100,18,8,2,10,5,2,8,3,0,82,36,9,83,42,17,80,30,0,18,33,0,0,14,25,0,59,58,60,27,17,40,45,58,30,10,7,3,45,58,30,9,3,6,41,25,60,7,4,3,32,33,30,32,50,10,41,33,50,27,17,40,5.05,4.92,5.20,3.14,2.92,3.40,91,77,68,45,41,36,23,14,1.29,1.37,1.18,1.75,1.76,1.74,45,3,1,5,2,5,3,1,0,0,2,2,3,3,4,3,6,2,8,23,8,40,59,58,60,14
US Salernitana 1919,Salernitana,2022/2023,Italy,22,11,11,0,5,3,2,6,3,3,11,5,6,0.95,1.09,0.82,16,17,16,16,25,42,-17,67,30,37,14,11,16,26,-2,-15,79,71,90,47,62,38,3,2,1,12,6,6,8,3,5,6,4,2,86,48,38,53,26,27,46,46,46,253,134,119,90,48,42,163,86,77,272,139,133,11,6,5,24,10,14,-13,-4,-9,5,3,2,4,2,2,13,6,7,0.86,1,0.73,3.05,2.73,3.36,1.14,1.27,1,1.91,1.45,2.36,1.59,1.45,1.73,0.5,0.55,0.45,1.09,0.91,1.27,21,18,14,7,2,1,11,9,7,3,0,0,10,9,7,4,2,1,1,4,8,15,20,21,0,2,4,8,11,11,1,2,4,7,9,10,95,82,64,32,9,5,100,82,64,27,0,0,91,82,64,36,18,9,5,18,36,68,91,95,0,18,36,73,100,100,9,18,36,64,82,91,19,10,3,10,5,1,9,5,2,86,45,14,91,45,9,82,45,18,23,27,18,18,14,18,9,55,55,55,36,27,45,27,36,18,6,3,3,27,27,27,15,7,8,68,64,73,4,2,2,18,18,18,23,27,18,18,18,18,59,55,64,3.91,4.36,3.45,2.41,2.36,2.45,82,59,50,27,18,14,9,0,1.02,1.06,0.98,1.88,1.76,2.00,73,4,4,0,2,4,4,2,2,3,2,6,4,7,7,6,1,2,7,27,27,27,50,45,55,0
ASD Spezia Calcio 2008,Spezia,2022/2023,Italy,22,11,11,0,4,2,2,7,6,1,11,3,8,0.86,1.09,0.64,17,18,18,17,19,37,-18,56,30,26,13,6,17,20,-4,-14,105,76,164,54,58,49,3,2,1,10,7,3,10,3,7,5,3,2,110,53,57,63,33,30,45,47,44,267,136,131,102,52,50,165,84,81,302,165,137,14,11,3,15,7,8,-1,4,-5,6,4,2,8,6,2,8,1,7,1.18,1.64,0.73,2.55,2.73,2.36,0.86,1.18,0.55,1.68,1.55,1.82,1.32,1.64,1,0.64,1,0.27,0.68,0.64,0.73,21,17,12,6,0,0,10,9,7,4,0,0,11,8,5,2,0,0,1,5,10,16,22,22,1,2,4,7,11,11,0,3,6,9,11,11,95,77,55,27,0,0,91,82,64,36,0,0,100,73,45,18,0,0,5,23,45,73,100,100,9,18,36,64,100,100,0,27,55,82,100,100,18,9,2,9,7,2,9,2,0,82,41,9,82,64,18,82,18,0,18,18,18,23,14,18,9,45,64,27,45,27,64,23,27,18,8,4,4,36,36,36,12,3,9,55,27,82,6,6,0,27,55,0,27,36,18,36,55,18,36,9,64,5.00,4.82,5.18,2.86,3,2.73,95,95,91,55,32,23,14,14,1.25,1.31,1.20,1.97,1.88,2.05,45,1,2,4,5,2,3,1,1,0,3,3,4,3,6,2,4,4,8,32,55,9,50,27,73,5
US Cremonese,Cremonese,2022/2023,Italy,22,11,11,0,0,0,0,8,3,5,14,8,6,0.36,0.27,0.45,20,20,19,20,15,40,-25,55,24,31,5,10,19,21,-14,-11,132,200,99,49,52,47,3,3,0,11,4,7,11,7,4,4,1,3,104,45,59,52,20,32,43,44,43,324,159,165,103,50,53,221,109,112,268,123,145,5,1,4,20,8,12,-15,-7,-8,0,0,0,12,7,5,10,4,6,0.55,0.64,0.45,2.5,2.18,2.82,0.68,0.45,0.91,1.82,1.73,1.91,1.14,0.82,1.45,0.23,0.09,0.36,0.91,0.73,1.09,19,16,10,7,3,0,8,6,5,3,2,0,11,10,5,4,1,0,3,6,12,15,19,22,3,5,6,8,9,11,0,1,6,7,10,11,86,73,45,32,14,0,73,55,45,27,18,0,100,91,45,36,9,0,14,27,55,68,86,100,27,45,55,73,82,100,0,9,55,64,91,100,12,9,4,5,3,1,7,6,3,55,41,18,45,27,9,64,55,27,0,0,0,-15,14,27,0,50,36,64,50,64,36,18,9,27,10,6,4,45,55,36,17,10,7,77,91,64,5,1,4,23,9,36,0,0,0,55,64,45,45,36,55,4.73,4.09,5.36,2.36,1.82,2.91,64,59,55,50,50,36,27,18,1.56,1.55,1.58,1.93,1.89,1.97,45,1,4,0,0,2,1,2,2,3,4,5,6,3,3,3,5,6,5,36,27,45,64,73,55,14
US Lecce,Lecce,2022/2023,Italy,22,11,11,0,5,2,3,9,6,3,8,3,5,1.09,1.09,1.09,13,16,11,13,22,25,-3,47,27,20,13,9,14,11,-1,-2,90,76,110,79,71,90,3,0,3,14,10,4,6,1,5,8,4,4,96,50,46,53,30,23,43,43,42,256,137,119,90,45,45,166,92,74,293,157,136,14,9,5,16,9,7,-2,0,-2,6,3,3,8,4,4,8,4,4,1.18,1.18,1.18,2.14,2.45,1.82,1,1.18,0.82,1.14,1.27,1,1.36,1.64,1.09,0.64,0.82,0.45,0.73,0.82,0.64,21,18,7,1,0,0,11,10,5,1,0,0,10,8,2,0,0,0,1,4,15,21,22,22,0,1,6,10,11,11,1,3,9,11,11,11,95,82,32,5,0,0,100,91,45,9,0,0,91,73,18,0,0,0,5,18,68,95,100,100,0,9,55,91,100,100,9,27,82,100,100,100,19,9,2,10,6,2,9,3,0,86,41,9,91,55,18,82,27,0,23,18,27,4,14,0,27,64,91,36,27,9,45,36,36,36,8,3,5,36,27,45,10,4,6,45,36,55,7,5,2,32,45,18,27,27,27,36,36,36,36,36,36,4.36,4.55,4.18,2.41,2.73,2.09,95,86,73,50,36,36,23,14,1.05,1.10,0.99,1.63,1.57,1.68,64,2,0,4,4,6,2,1,1,2,3,5,2,6,2,3,2,1,1,41,55,27,36,27,45,5
SS Monza 1912,Monza,2022/2023,Italy,22,11,11,0,8,4,4,5,3,2,9,4,5,1.32,1.36,1.27,10,11,10,10,28,30,-2,58,29,29,16,12,13,17,3,-5,71,62,83,66,76,58,7,4,3,10,6,4,5,1,4,11,6,5,91,54,37,50,21,29,55,59,51,268,155,113,111,61,50,157,94,63,252,119,133,13,6,7,14,6,8,-1,0,-1,7,2,5,7,6,1,8,3,5,1.27,1.09,1.45,2.64,2.64,2.64,1.27,1.45,1.09,1.36,1.18,1.55,1.23,1.09,1.36,0.59,0.55,0.64,0.64,0.55,0.73,22,18,11,5,2,0,11,10,6,2,0,0,11,8,5,3,2,0,0,4,11,17,20,22,0,1,5,9,11,11,0,3,6,8,9,11,100,82,50,23,9,0,100,91,55,18,0,0,100,73,45,27,18,0,0,18,50,77,91,100,0,9,45,82,100,100,0,27,55,73,82,100,17,9,1,7,4,1,10,5,0,77,41,5,64,36,9,91,45,0,36,36,36,14,32,36,27,45,55,36,23,9,36,50,55,45,12,6,6,55,55,55,12,6,6,55,55,55,3,3,0,14,27,0,32,18,45,32,55,9,36,27,45,4.14,4.91,3.36,2.27,1.91,2.64,82,68,55,36,32,27,23,9,1.30,1.48,1.12,1.52,1.28,1.76,36,1,4,2,6,0,3,5,2,5,1,6,1,3,4,3,7,2,3,23,27,18,41,36,45,0
